distance_A,Vc_eV,Vtotal_V,Q_e,Delta_phi_H_V,Cgeom_uF_cm2,Ctotal_uF_cm2,Cq_series_uF_cm2,output
3.7,0.16,0.16,0.00112423,-0.054805988743767214,6.220329577828054,2.1306957051560413,3.2407863218997415,graphene_d3.70_vc0p08_on1.std
3.7,0.24,0.24,0.00171243,-0.08393635596205315,6.186556161773565,2.1636540840577463,3.327341120188101,graphene_d3.70_vc0p12_on1.std
3.7,0.32,0.32,0.00232545,-0.11482909242052527,6.1410313816046305,2.2036533127363254,3.4369836756825327,graphene_d3.70_vc0p16_on1.std
3.7,0.4,0.4,0.00296504,-0.14750144333521945,6.095657112909895,2.2477955555770155,3.560884601112725,graphene_d3.70_vc0p20_on1.std
3.7,0.48,0.48,0.00363224,-0.1819610840177553,6.053161542794326,2.294666325128008,3.695624218842149,graphene_d3.70_vc0p24_on1.std
3.7,0.56,0.56,0.00432752,-0.2185072563819848,6.005642311452795,2.3433507576555566,3.8427651796753537,graphene_d3.70_vc0p28_on1.std
3.7,0.64,0.64,0.00505012,-0.25677198595382816,5.964036609948681,2.3928086322466555,3.9960479623323013,graphene_d3.70_vc0p32_on1.std
10.05,0.16,0.16,0.00023935,-0.06768615572990887,1.0723086909046993,0.45362783151943864,0.7862358416225724,graphene_d10.05_vc0p08_on1.log
10.05,0.24,0.24,0.00037833,-0.10696133165971597,1.0725813028041853,0.47801968525520294,0.8623411966798087,graphene_d10.05_vc0p12_on1.log
10.05,0.32,0.32,0.00053004,-0.1498648670287204,1.0724944550897537,0.502278871565831,0.9447151572638353,graphene_d10.05_vc0p16_on1.log
10.05,0.4,0.4,0.00069707,-0.19710097125405876,1.072442140566142,0.5284484687984209,1.0417959554850593,graphene_d10.05_vc0p20_on1.std
10.05,0.48,0.48,0.00087786,-0.24823755558390512,1.0723684236937374,0.5545877420481227,1.1485990185069532,graphene_d10.05_vc0p24_on1.std
10.05,0.56,0.56,0.00106856,-0.3021253105548531,1.0725018402330393,0.5786249134840329,1.2565403461978124,graphene_d10.05_vc0p28_on1.std
10.05,0.64,0.64,0.00126618,-0.35804379260677904,1.0723721915116862,0.5999315727107614,1.3617583031233476,graphene_d10.05_vc0p32_on1.std
